key,en,hy
indicator:national_metadata_blurb,"This table provides metadata for the actual indicator available from %country_name statistics closest to the corresponding global SDG indicator. Please note that even when the global SDG indicator is fully available from %country_adjective statistics, this table should be consulted for information on national methodology and other %country_adjective-specific metadata information.","Այս աղյուսակը տրամադրում է երկրի_անվանում վիճակագրությունում առկա համապատասխան գլոբալ ԿԶՆ ցուցանիշին ամենամոտ մետատվյալներ գործող ցուցանիշի վերաբերյալ։ Խնդրում ենք նկատի ունենալ, որ նույնիսկ այն դեպքում, երբ գլոբալ ԿԶՆ ցուցանիշը ամբողջությամբ հասանելի է երկրին_համապատասխան վիճակագրության մեջ, այս աղյուսակը պետք է ծառայի ազգային մեթոդաբանության և այլ երկրին_համապատասխան մետատվյալների վերաբերյալ տեղեկատվության համար:"
indicator:global_metadata,Global Metadata,Գլոբալ մետատվյալներ
indicator:global_metadata_blurb,"This table provides information on metadata for SDG indicators as defined by the UN Statistical Commission. <a href=""https://unstats.un.org/sdgs/metadata/"">Complete global metadata</a> is provided by the UN Statistics Division.","Այս աղյուսակը տեղեկատվություն է տրամադրում ՄԱԿ-ի վիճակագրական կոմիտեի սահմանած ԿԶՆ ցուցանիշների մետատվյալի մասին <a href=""https://unstats.un.org/sdgs/metadata/"">Complete global metadata</a> "
indicator:edit,Edit,Խմբագրել
indicator:edit_data,Edit Data,Խմբագրել տվյալները
indicator:edit_metadata,Edit Metadata,Խմբագրել մետատվյալները
status:reporting_status,Reporting Status,Հաշվետվության կարգավիճակը 
status:overall_reporting_status,Overall Reporting Status,Ընդհանուր հաշվետվության կարգավիճակը
status:reported_online,Published,Առցանց հաշվետվություն 
status:statistics_in_progress,Statistics in progress,Վիճակագրությունը ընթացքում է
status:exploring_data_sources,Not published,Ուսումնասիրել տվյալների աղբյուրները 
status:not_applicable,Not applicable,ոչ կիրառելի
status:status_by_goal,Status by area,Գոլի կարգավիճակ
status:status_by_field,Status by %field,Կարգավիճակը %field
global_targets:1-1-title,UK Climate Series,UK Climate Series
global_targets:1-2-title,UK Climate Projections,UK Climate Projections
global_targets:1-3-title,Severe weather events and hazards,Severe weather events and hazards
global_targets:2-1-title,Green house Gas emissions and Short-lived climate pollutant (SLCP) emissions,Green house Gas emissions and Short-lived climate pollutant (SLCP) emissions
global_targets:3-1-title,GHG activities,GHG activities
global_targets:3-2-title,Inefficient use of materials,Inefficient use of materials
global_targets:3-3-title,Depletion of natural capital,Depletion of natural capital
global_targets:3-4-title,Population,Population
global_targets:3-5-title,Energy statistics,Energy statistics
global_targets:4-1-title,Disruption or unwanted impacts,Disruption or unwanted impacts
global_targets:4-2-title,Air Quality,Air Quality
global_targets:4-3-title,Ecosystem condition and biodiversity,Ecosystem condition and biodiversity
global_targets:4-4-title,Spread of climate-sensitive pests and diseases,Spread of climate-sensitive pests and diseases
global_targets:5-1-title,Energy and material efficiency,Energy and material efficiency
global_targets:5-2-title,Green economy,Green economy
global_targets:5-3-title,Population growth,Population growth
global_targets:5-4-title,"Governance, regulation and education","Governance, regulation and education"
global_targets:5-5-title,Expenditure and investment,Expenditure and investment
global_targets:6-1-title,Natural environmental resilience,Natural environmental resilience
global_targets:6-2-title,Commercial natural environment,Commercial natural environment
global_targets:6-3-title,People and the built environment,People and the built environment
global_targets:6-4-title,Critical infrastructure,Critical infrastructure
global_targets:6-5-title,Business,Business
global_targets:6-6-title,Effective emergency planning systems,Effective emergency planning systems
global_targets:7-1-title,Contextual metrics,Contextual metrics
post:posts_by_category,Posts by Category,Գրառումներ ըստ կատեգորիաների  
post:view_all_in_category,View all posts in the %category_name category,Տեսնել բոլոր գրառումները %category_name category
search:search,Search,Որոնում
search:indicator_search,Indicator search,Ցուցանիշների որոնում
search:search_results_for,Search results for,Որոնման արդյունքներ
search:found_in,found in,Գտնված է
search:keywords,Keywords,Հիմնաբառեր
search:no_results,No results,Արդյունքներ չկան
search:did_you_mean,did you mean,դու ի նկատի ունեիր
general:indicator,Metric,Ցուցանիշ
general:indicators,Metrics,Ցուցանիշներ
general:goal,Area,Նպատակը
general:goals,Areas,Նպատակները
general:sdg,Sustainable Development Goals,Կայուն զարգացման նպատակներ
general:home,Home,Գլխավոր էջ
general:loading,Loading search results,Որոնման արդյունքները բեռնվում են 
general:opens_new_window,opens in a new window,Բացվում է նոր պատուհանում
general:target,Topic,Թիրախը
general:targets,Topics,Թիրախներ
general:twitter,Twitter,Թվիթերի
general:facebook,Facebook,Ֆեյսբուք
general:built_using_open_sdg,Built using Open SDG,Կառուցվել է Open SDG օգտագործմամբ
general:page,Page,ինտերնետային էջ
general:pages,Pages,վեբ էջեր
calendar:January,January,Հունվար
calendar:February,February,Փետրվար
calendar:March,March,Մարտ
calendar:April,April,Ապրիլ
calendar:May,May,Մայիս
calendar:June,June,Հունիս
calendar:July,July,Հուլիս
calendar:August,August,Օգոստոս
calendar:September,September,Սեպտեմբեր
calendar:October,October,Հոկտեմբեր
calendar:November,November,Նոյեմբեր
calendar:December,December,Դեկտեմբեր
global_indicators:1-1-1-title,Historic trends,Historic trends
global_indicators:1-2-1-title,Change over time,Change over time
global_indicators:1-2-2-title,Global indicators (TBC),Global indicators (TBC)
global_indicators:1-3-1-title,Severe weather events,Severe weather events
global_indicators:1-3-2-title,Flooding occurence,Flooding occurence
global_indicators:2-1-1-title,Estimated territorial greenhouse gas emissions by gas,Estimated territorial greenhouse gas emissions by gas
global_indicators:2-1-2-title,UK annual emissions of some pollutants / Concentrations in the atmosphere (TBC),UK annual emissions of some pollutants / Concentrations in the atmosphere (TBC)
global_indicators:3-1-1-title,Total GHG emissions by sector,Total GHG emissions by sector
global_indicators:3-2-1-title,Raw material consumption,Raw material consumption
global_indicators:3-3-1-title,Land cover and degraded land area,Land cover and degraded land area
global_indicators:3-3-2-title,Soil and peatland health,Soil and peatland health
global_indicators:3-3-3-title,Extent of protected area (TBC),Extent of protected area (TBC)
global_indicators:3-4-1-title,Population (historic),Population (historic)
global_indicators:3-4-2-title,Population (projections),Population (projections)
global_indicators:3-5-1-title,Energy supply by source (TBC),Energy supply by source (TBC)
global_indicators:3-5-2-title,Energy intensity (TBC),Energy intensity (TBC)
global_indicators:3-5-3-title,Energy and pollution consumption (TBC),Energy and pollution consumption (TBC)
global_indicators:4-1-1-title,Drought,Drought
global_indicators:4-1-2-title,Heat waves,Heat waves
global_indicators:4-1-3-title,Storms and gales,Storms and gales
global_indicators:4-1-4-title,Low temperatures and heavy snow,Low temperatures and heavy snow
global_indicators:4-1-5-title,Flooding or Coastal erosion,Flooding or Coastal erosion
global_indicators:4-2-1-title,"Concentrations of GHG and pollutants in the atmosphere, annual means","Concentrations of GHG and pollutants in the atmosphere, annual means"
global_indicators:4-2-2-title,Rural background concentrations of ozone,Rural background concentrations of ozone
global_indicators:4-2-3-title,Roadside nitrogen dioxide concentrations,Roadside nitrogen dioxide concentrations
global_indicators:4-2-4-title,Clean air indicators,Clean air indicators
global_indicators:4-3-1-title,Water,Water
global_indicators:4-3-2-title,Seas and Estuaries,Seas and Estuaries
global_indicators:4-3-3-title,Wildlife,Wildlife
global_indicators:4-4-1-title,Abatement of the number of invasive non-native species entering and establishing against a baseline,Abatement of the number of invasive non-native species entering and establishing against a baseline
global_indicators:4-4-2-title,Distribution of invasive non-native species and plant pests and diseases,Distribution of invasive non-native species and plant pests and diseases
global_indicators:5-1-1-title,Footprints,Footprints
global_indicators:5-1-2-title,Sustainable household expenditure,Sustainable household expenditure
global_indicators:5-1-3-title,Circular economy,Circular economy
global_indicators:5-2-1-title,Green jobs,Green jobs
global_indicators:5-2-2-title,Business,Business
global_indicators:5-2-3-title,Government,Government
global_indicators:5-3-1-title,Population projection,Population projection
global_indicators:5-3-2-title,Variables that transform the projections,Variables that transform the projections
global_indicators:5-4-1-title,Climate change mitigation expenditure,Climate change mitigation expenditure
global_indicators:5-4-2-title,Green R&D,Green R&D
global_indicators:5-4-3-title,Number of countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or a target into national policies,Number of countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or a target into national policies
global_indicators:5-4-4-title,Extent to which (i) global citizenship education and (ii) education for sustainable development (including climate change education) are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,Extent to which (i) global citizenship education and (ii) education for sustainable development (including climate change education) are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment
global_indicators:5-4-5-title,"Number of countries that have communicated the strengthening of institutional, systemic and individual capacity-building to implement adaptation, mitigation and technology transfer, and development actions","Number of countries that have communicated the strengthening of institutional, systemic and individual capacity-building to implement adaptation, mitigation and technology transfer, and development actions"
global_indicators:5-4-6-title,Proportion of national exclusive economic zones managed using ecosystem-based approaches,Proportion of national exclusive economic zones managed using ecosystem-based approaches
global_indicators:5-4-7-title,"Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing","Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
global_indicators:5-4-8-title,Progress towards sustainable forest management,Progress towards sustainable forest management
global_indicators:5-5-1-title,Investments in energy efficiency as a proportion of GDP and the amount of foreign direct investment in financial transfer for infrastructure and technology to sustainable development services,Investments in energy efficiency as a proportion of GDP and the amount of foreign direct investment in financial transfer for infrastructure and technology to sustainable development services
global_indicators:5-5-2-title,Amount of fossil-fuel subsidies per unit of GDP (production and consumption) and as a proportion of total national expenditure on fossil fuels,Amount of fossil-fuel subsidies per unit of GDP (production and consumption) and as a proportion of total national expenditure on fossil fuels
global_indicators:5-5-3-title,Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems,Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems
global_indicators:6-1-1-title,Water security,Water security
global_indicators:6-1-2-title,Terrestrial habitats,Terrestrial habitats
global_indicators:6-1-3-title,Freshwater habitats,Freshwater habitats
global_indicators:6-1-4-title,Marine and coastal habitats,Marine and coastal habitats
global_indicators:6-1-5-title,Soil health and carbon sequestration,Soil health and carbon sequestration
global_indicators:6-2-1-title,Food security (crops and livestock),Food security (crops and livestock)
global_indicators:6-2-2-title,Commercial forestry,Commercial forestry
global_indicators:6-2-3-title,Commercial fisheries and aquaculture,Commercial fisheries and aquaculture
global_indicators:6-2-4-title,Farmed countryside,Farmed countryside
global_indicators:6-3-1-title,River and coastal flood alleviation,River and coastal flood alleviation
global_indicators:6-3-2-title,Development in areas at risk of river and coastal flooding,Development in areas at risk of river and coastal flooding
global_indicators:6-3-3-title,Surface water flood alleviation,Surface water flood alleviation
global_indicators:6-3-4-title,Development and surface water flood risk,Development and surface water flood risk
global_indicators:6-3-5-title,Property-level flood resilience,Property-level flood resilience
global_indicators:6-3-6-title,Capacity of people and communities to recover from flooding,Capacity of people and communities to recover from flooding
global_indicators:6-3-7-title,Coastal change risk management,Coastal change risk management
global_indicators:6-3-8-title,Water demand in the built environment,Water demand in the built environment
global_indicators:6-3-9-title,Health impacts from heat and cold,Health impacts from heat and cold
global_indicators:6-4-1-title,Transport network,Transport network
global_indicators:6-4-2-title,Public services,Public services
global_indicators:6-4-3-title,NSIP,NSIP
global_indicators:6-5-1-title,Business impacts from extreme weather,Business impacts from extreme weather
global_indicators:6-5-2-title,Supply chain interruptions,Supply chain interruptions
global_indicators:6-5-3-title,Water demand by industry,Water demand by industry
global_indicators:6-5-4-title,Business opportunities from climate change,Business opportunities from climate change
global_indicators:6-6-1-title,Disaster planning and strategies,Disaster planning and strategies
global_indicators:6-6-2-title,Early warning systems,Early warning systems
global_indicators:7-1-1-title,Temperature,Temperature
global_goals:1-short,Climate and weather,Climate and weather
global_goals:1-title,Climate and weather description,Climate and weather
global_goals:2-short,Emissions,Emissions
global_goals:2-title,Emissions description,Emissions
global_goals:3-short,Drivers,Drivers
global_goals:3-title,Drivers description,Drivers
global_goals:4-short,Impacts,Impacts
global_goals:4-title,Impacts description,Impacts
global_goals:5-short,Mitigation,Mitigation
global_goals:5-title,Mitigation description,Mitigation
global_goals:6-short,Adaption,Adaption
global_goals:6-title,Adaption description,Adaption
global_goals:7-short,Contextual,Contextual
global_goals:7-title,Contextual description,Contextual
frontpage:instructions,"Click on each goal, or %before_link search, %after_link for %name statistics for Environmental Statistics measures.","Սեղմեք յուրաքանչյուր նպատակի վրա %before_link որոնում, %after_link երկիր_անվանում Կայուն Զարգացման Նպատակների գլոբալ ցուցանիշների համար "
frontpage:heading,%name data for UK Climate Change-related Statistics,%name Կայուն զարգացման նպատակների ցուցանիշների տվյալներ
frontpage:download_all,Download all data,Ներբեռնեք բոլոր տվյալները
frontpage:zip_file,ZIP file,ZIP ֆայլ
frontpage:intro_title,UK Climate Change-related Statistics,17 նպատակ ՝ մեր աշխարհը վերափոխելու համար
frontpage:intro_body,The open-climate platform is under construction.,"<a href=""https://www.un.org/sustainabledevelopment/ru/"">Կայուն զարգացման նպատակները (SDG)</a> - ը համընդհանուր կոչ է ՝ ուղղված աղքատությանը վերջ տալու, մոլորակին պաշտպանելու և բարելավել բոլորի կյանքը և հեռանկարները, ամենուր: 17 նպատակներն ընդունվել են ՄԱԿ-ի բոլոր անդամ պետությունների կողմից 2015 թ.-ին, որպես <a href=""https://www.un.org/ga/search/view_doc.asp?symbol=A/RES/70/1&Lang=R"">2030 օրակարգ կայուն զարգացման համար</a>:"
metadata_fields:other_info,Other information,Այլ տեղեկություններ 
metadata_fields:computation_calculations,Calculations,Հաշվարկներ 
metadata_fields:computation_definitions,Definitions,Սահմանումներ 
metadata_fields:computation_units,Unit of measurement,Չափման միավորը 
metadata_fields:goal_meta_link,Link to UN metadata,Հղում ՄԱԿ-ի մետատվյալների
metadata_fields:indicator,Metric code,Ցուցանիշի համարը 
metadata_fields:indicator_definition,Global metric description,Գլոբալ ցուցանիշի նկարագրությունը 
metadata_fields:indicator_name,Metric name,Ցուցանիշի անվանումը 
metadata_fields:indicator_sort_order,Indicator display order (within Goal page),Ցուցանիշի ցուցադրման կարգը (Նպատակների էջում) 
metadata_fields:national_data_update_url,Data last updated,Տվյալները վերջին անգամ թարմացվել են 
metadata_fields:national_geographical_coverage,Geographical coverage,Աշխարհագրական ընդգրկունություն 
metadata_fields:national_indicator_available,Metric available,Առկա ցուցանիշ
metadata_fields:national_indicator_description,Metric description,Ցուցանիշի նկարագիր 
metadata_fields:national_metadata_update_url,Metadata last updated,Մետատվյալները վերջին անգան թարմացվել են 
metadata_fields:source_contact_1,Contact details,Կոնտակտային տվյալներ
metadata_fields:source_contact_2,Contact details,Կոնտակտային տվյալներ
metadata_fields:source_contact_3,Contact details,Կոնտակտային տվյալներ
metadata_fields:source_contact_4,Contact details,Կոնտակտային տվյալներ
metadata_fields:source_contact_5,Contact details,Կոնտակտային տվյալներ
metadata_fields:source_contact_6,Contact details,Կոնտակտային տվյալներ
metadata_fields:source_earliest_available_1,Earliest available data,Ամենավաղ հասանելի տվյալը 
metadata_fields:source_earliest_available_2,Earliest available data,Ամենավաղ հասանելի տվյալը 
metadata_fields:source_earliest_available_3,Earliest available data,Ամենավաղ հասանելի տվյալը 
metadata_fields:source_earliest_available_4,Earliest available data,Ամենավաղ հասանելի տվյալը 
metadata_fields:source_earliest_available_5,Earliest available data,Ամենավաղ հասանելի տվյալը 
metadata_fields:source_earliest_available_6,Earliest available data,Ամենավաղ հասանելի տվյալը 
metadata_fields:source_geographical_coverage_1,Geographical coverage,Աշխարհագրական ընդգրկունություն 
metadata_fields:source_geographical_coverage_2,Geographical coverage,Աշխարհագրական ընդգրկունություն 
metadata_fields:source_geographical_coverage_3,Geographical coverage,Աշխարհագրական ընդգրկունություն 
metadata_fields:source_geographical_coverage_4,Geographical coverage,Աշխարհագրական ընդգրկունություն 
metadata_fields:source_geographical_coverage_5,Geographical coverage,Աշխարհագրական ընդգրկունություն 
metadata_fields:source_geographical_coverage_6,Geographical coverage,Աշխարհագրական ընդգրկունություն 
metadata_fields:source_next_release_1,Next release,Հաջորդ թողարկումը
metadata_fields:source_next_release_2,Next release,Հաջորդ թողարկումը
metadata_fields:source_next_release_3,Next release,Հաջորդ թողարկումը
metadata_fields:source_next_release_4,Next release,Հաջորդ թողարկումը
metadata_fields:source_next_release_5,Next release,Հաջորդ թողարկումը
metadata_fields:source_next_release_6,Next release,Հաջորդ թողարկումը
metadata_fields:source_organisation_1,Organisation,Կազմակերպություն 
metadata_fields:source_organisation_2,Organisation,Կազմակերպություն 
metadata_fields:source_organisation_3,Organisation,Կազմակերպություն 
metadata_fields:source_organisation_4,Organisation,Կազմակերպություն 
metadata_fields:source_organisation_5,Organisation,Կազմակերպություն 
metadata_fields:source_organisation_6,Organisation,Կազմակերպություն 
metadata_fields:source_other_info_1,Other information,Այլ տեղեկություններ 
metadata_fields:source_other_info_2,Other information,Այլ տեղեկություններ 
metadata_fields:source_other_info_3,Other information,Այլ տեղեկություններ 
metadata_fields:source_other_info_4,Other information,Այլ տեղեկություններ 
metadata_fields:source_other_info_5,Other information,Այլ տեղեկություններ 
metadata_fields:source_other_info_6,Other information,Այլ տեղեկություններ 
metadata_fields:source_periodicity_1,Periodicity,Պարբերականությունը 
metadata_fields:source_periodicity_2,Periodicity,Պարբերականությունը 
metadata_fields:source_periodicity_3,Periodicity,Պարբերականությունը 
metadata_fields:source_periodicity_4,Periodicity,Պարբերականությունը 
metadata_fields:source_periodicity_5,Periodicity,Պարբերականությունը 
metadata_fields:source_periodicity_6,Periodicity,Պարբերականությունը 
metadata_fields:source_release_date_1,Release date,Թողարկման ամսաթիվը
metadata_fields:source_release_date_2,Release date,Թողարկման ամսաթիվը
metadata_fields:source_release_date_3,Release date,Թողարկման ամսաթիվը
metadata_fields:source_release_date_4,Release date,Թողարկման ամսաթիվը
metadata_fields:source_release_date_5,Release date,Թողարկման ամսաթիվը
metadata_fields:source_release_date_6,Release date,Թողարկման ամսաթիվը
metadata_fields:source_statistical_classification_1,Statistical classification,Վիճակագրական դասակարգում
metadata_fields:source_statistical_classification_2,Statistical classification,Վիճակագրական դասակարգում
metadata_fields:source_statistical_classification_3,Statistical classification,Վիճակագրական դասակարգում
metadata_fields:source_statistical_classification_4,Statistical classification,Վիճակագրական դասակարգում
metadata_fields:source_statistical_classification_5,Statistical classification,Վիճակագրական դասակարգում
metadata_fields:source_statistical_classification_6,Statistical classification,Վիճակագրական դասակարգում
metadata_fields:source_url_1,Link to data source,Հղում տվյալների աղբյուրներին 
metadata_fields:source_url_2,Link to data source,Հղում տվյալների աղբյուրներին 
metadata_fields:source_url_3,Link to data source,Հղում տվյալների աղբյուրներին 
metadata_fields:source_url_4,Link to data source,Հղում տվյալների աղբյուրներին 
metadata_fields:source_url_5,Link to data source,Հղում տվյալների աղբյուրներին 
metadata_fields:source_url_6,Link to data source,Հղում տվյալների աղբյուրներին 
metadata_fields:target,Topic name,Թիրախի անվանումը
metadata_fields:target_id,Topic number,Թիրախի համարը 
metadata_fields:un_custodian_agency,UN custodian agency,ՄԱԿ -ի պահառու գործակալություն
metadata_fields:un_designated_tier,UN designated tier,ՄԱԿ-ի կողմից նշանակված աստիճան 
metadata_fields:quality_assurance,Quality assurance,Որակի ապահովում
metadata_fields:international_comparability,Comparability with international data/standards,Համեմատելիություն միջազգային տվյալների / ստանդարտների հետ
metadata_fields:comments_limitations,Comments and limitations,Մեկնաբանություններ և սահմանափակումներ
metadata_fields:rational_interpretation,Rational and interpretation,Ռացիոնալ և մեկնաբանություն
metadata_fields:copyright,Copyright,Հեղինակային իրավունք
